offline_datapoint_11 1734111669 216649,000
offline_datapoint_5 1734111669 3656,000
offline_datapoint_27 1734111669 1113448448,000
offline_datapoint_14 1734111669 570142720,000
offline_datapoint_3 1734111669 10975322112,000
offline_datapoint_9 1734111669 781262848,000
offline_datapoint_26 1734111669 8134,000
offline_datapoint_20 1734111667 109,025
offline_datapoint_8 1734111667 51898,989
offline_datapoint_22 1734111669 781262848,000
offline_datapoint_1 1734111667 23,005
offline_datapoint_21 1734111669 6854070272,000
offline_datapoint_7 1734111669 7292993536,000
offline_datapoint_6 1734111667 0,195
offline_datapoint_12 1734111667 19,735
offline_datapoint_25 1734111667 8,013
offline_datapoint_13 1734111667 24119,238
offline_datapoint_19 1734111669 0,000
offline_datapoint_0 1734111667 43501,382
offline_datapoint_16 1734111667 4914,802
offline_datapoint_29 1734111667 0,934
offline_datapoint_17 1734111667 51,679
offline_datapoint_10 1734111667 99,085
offline_datapoint_30 1734111667 7,668
offline_datapoint_23 1734111667 19994,426
offline_datapoint_4 1734111667 0,009
offline_datapoint_11 1734111672 216649,000
offline_datapoint_5 1734111672 3660,000
offline_datapoint_27 1734111672 1113481216,000
offline_datapoint_14 1734111672 566845440,000
offline_datapoint_3 1734111672 11060641792,000
offline_datapoint_9 1734111672 781004800,000
offline_datapoint_26 1734111672 8113,000
offline_datapoint_20 1734111670 3,659
offline_datapoint_8 1734111670 13446,046
offline_datapoint_22 1734111672 781004800,000
offline_datapoint_1 1734111670 1,330
offline_datapoint_21 1734111672 6926483456,000
offline_datapoint_7 1734111672 7320338432,000
offline_datapoint_6 1734111670 0,617
offline_datapoint_12 1734111670 7,102
offline_datapoint_25 1734111670 4,057
offline_datapoint_13 1734111670 14680,629
offline_datapoint_19 1734111672 0,000
offline_datapoint_0 1734111670 19466,301
offline_datapoint_16 1734111670 2213,402
offline_datapoint_29 1734111670 0,609
offline_datapoint_17 1734111670 37,250
offline_datapoint_10 1734111670 98,996
offline_datapoint_30 1734111670 10,310
offline_datapoint_23 1734111670 30756,571
offline_datapoint_4 1734111670 0,006
offline_datapoint_11 1734111675 216649,000
offline_datapoint_5 1734111675 3662,000
offline_datapoint_27 1734111675 1113071616,000
offline_datapoint_14 1734111675 568172544,000
offline_datapoint_3 1734111675 11051560960,000
offline_datapoint_9 1734111675 780652544,000
offline_datapoint_26 1734111675 8107,000
offline_datapoint_20 1734111673 17,580
offline_datapoint_8 1734111673 45224,383
offline_datapoint_22 1734111675 780652544,000
offline_datapoint_1 1734111673 3,649
offline_datapoint_21 1734111675 6925746176,000
offline_datapoint_7 1734111675 7322021888,000
offline_datapoint_6 1734111673 0,486
offline_datapoint_12 1734111673 20,308
offline_datapoint_25 1734111673 8,585
offline_datapoint_13 1734111673 22748,021
offline_datapoint_19 1734111675 0,000
offline_datapoint_0 1734111673 38009,671
offline_datapoint_16 1734111673 4421,835
offline_datapoint_29 1734111673 0,401
offline_datapoint_17 1734111673 16,585
offline_datapoint_10 1734111673 99,449
offline_datapoint_30 1734111673 0,663
offline_datapoint_23 1734111673 29736,960
offline_datapoint_4 1734111673 0,004
offline_datapoint_11 1734111678 216649,000
offline_datapoint_5 1734111678 3661,000
offline_datapoint_27 1734111678 1113239552,000
offline_datapoint_14 1734111678 568651776,000
offline_datapoint_3 1734111678 11027660800,000
offline_datapoint_9 1734111678 779923456,000
offline_datapoint_26 1734111678 8116,000
offline_datapoint_20 1734111676 0,334
offline_datapoint_8 1734111676 9163,006
offline_datapoint_22 1734111678 779923456,000
offline_datapoint_1 1734111676 0,334
offline_datapoint_21 1734111678 6902145024,000
offline_datapoint_7 1734111678 7321985024,000
offline_datapoint_6 1734111676 0,424
offline_datapoint_12 1734111676 10,814
offline_datapoint_25 1734111676 5,248
offline_datapoint_13 1734111676 10266,158
offline_datapoint_19 1734111678 1,000
offline_datapoint_0 1734111676 14705,470
offline_datapoint_16 1734111676 2180,603
offline_datapoint_29 1734111676 0,443
offline_datapoint_17 1734111676 25,367
offline_datapoint_10 1734111676 99,364
offline_datapoint_30 1734111676 7,677
offline_datapoint_23 1734111676 36594,526
