offline_datapoint_11 1733950115 218802,000
offline_datapoint_5 1733950115 3735,000
offline_datapoint_27 1733950115 754454528,000
offline_datapoint_14 1733950115 517160960,000
offline_datapoint_3 1733950115 13470203904,000
offline_datapoint_9 1733950115 200257536,000
offline_datapoint_26 1733950115 7662,000
offline_datapoint_20 1733950113 1,666
offline_datapoint_8 1733950113 3431,428
offline_datapoint_22 1733950115 200257536,000
offline_datapoint_1 1733950113 1,666
offline_datapoint_21 1733950115 8718282752,000
offline_datapoint_7 1733950115 8308641792,000
offline_datapoint_6 1733950113 0,163
offline_datapoint_18 1733950113 22,252
offline_datapoint_12 1733950113 22,252
offline_datapoint_25 1733950113 8,546
offline_datapoint_13 1733950113 30673,733
offline_datapoint_19 1733950115 0,000
offline_datapoint_0 1733950113 46193,819
offline_datapoint_16 1733950113 4434,012
offline_datapoint_29 1733950113 1,641
offline_datapoint_17 1733950113 46,290
offline_datapoint_10 1733950113 97,700
offline_datapoint_30 1733950113 0,000
offline_datapoint_23 1733950113 36084,439
offline_datapoint_4 1733950113 0,016
offline_datapoint_11 1733950117 218802,000
offline_datapoint_5 1733950117 3787,000
offline_datapoint_27 1733950117 751214592,000
offline_datapoint_14 1733950117 517771264,000
offline_datapoint_3 1733950117 13509181440,000
offline_datapoint_9 1733950117 200331264,000
offline_datapoint_26 1733950117 7633,000
offline_datapoint_20 1733950115 94,074
offline_datapoint_8 1733950115 48204,609
offline_datapoint_22 1733950117 200331264,000
offline_datapoint_1 1733950115 20,308
offline_datapoint_21 1733950117 8756637696,000
offline_datapoint_7 1733950117 8372449280,000
offline_datapoint_6 1733950115 0,175
offline_datapoint_18 1733950116 5,120
offline_datapoint_12 1733950116 5,120
offline_datapoint_25 1733950116 3,041
offline_datapoint_13 1733950116 9319,479
offline_datapoint_19 1733950117 0,000
offline_datapoint_0 1733950116 11940,594
offline_datapoint_16 1733950116 1002,147
offline_datapoint_29 1733950116 0,264
offline_datapoint_17 1733950116 20,261
offline_datapoint_10 1733950116 99,760
offline_datapoint_30 1733950116 9,005
offline_datapoint_23 1733950116 14639,407
offline_datapoint_4 1733950116 0,003
offline_datapoint_11 1733950120 218802,000
offline_datapoint_5 1733950120 3789,000
offline_datapoint_27 1733950120 751214592,000
offline_datapoint_14 1733950120 517771264,000
offline_datapoint_3 1733950120 13501812736,000
offline_datapoint_9 1733950120 200249344,000
offline_datapoint_26 1733950120 7633,000
offline_datapoint_20 1733950119 0,375
offline_datapoint_8 1733950119 6035,018
offline_datapoint_22 1733950120 200249344,000
offline_datapoint_1 1733950119 0,375
offline_datapoint_21 1733950120 8749445120,000
offline_datapoint_7 1733950120 8376401920,000
offline_datapoint_6 1733950119 0,256
offline_datapoint_18 1733950118 10,486
offline_datapoint_12 1733950118 10,486
offline_datapoint_25 1733950118 5,655
offline_datapoint_13 1733950118 19356,907
offline_datapoint_19 1733950120 0,000
offline_datapoint_0 1733950118 29472,125
offline_datapoint_16 1733950118 2626,617
offline_datapoint_29 1733950118 0,515
offline_datapoint_17 1733950118 35,477
offline_datapoint_10 1733950118 99,231
offline_datapoint_30 1733950118 5,690
offline_datapoint_23 1733950118 21136,906
offline_datapoint_4 1733950118 0,005
offline_datapoint_11 1733950123 218802,000
offline_datapoint_5 1733950123 3790,000
offline_datapoint_27 1733950123 753233920,000
offline_datapoint_14 1733950123 517844992,000
offline_datapoint_3 1733950123 13493481472,000
offline_datapoint_9 1733950123 200294400,000
offline_datapoint_26 1733950123 7627,000
offline_datapoint_20 1733950121 4,016
offline_datapoint_8 1733950121 39532,790
offline_datapoint_22 1733950123 200294400,000
offline_datapoint_1 1733950121 1,673
offline_datapoint_21 1733950123 8739414016,000
offline_datapoint_7 1733950123 8368959488,000
offline_datapoint_6 1733950121 0,163
offline_datapoint_18 1733950121 4,743
offline_datapoint_12 1733950121 4,743
offline_datapoint_25 1733950121 2,883
offline_datapoint_13 1733950121 8079,006
offline_datapoint_19 1733950123 0,000
offline_datapoint_0 1733950121 9371,169
offline_datapoint_16 1733950121 1022,852
offline_datapoint_29 1733950121 0,392
offline_datapoint_17 1733950121 30,845
offline_datapoint_10 1733950121 99,576
offline_datapoint_30 1733950121 3,980
offline_datapoint_23 1733950121 21272,774
offline_datapoint_4 1733950121 0,004
offline_datapoint_11 1733950126 218802,000
offline_datapoint_5 1733950126 3791,000
offline_datapoint_27 1733950126 753393664,000
offline_datapoint_14 1733950126 517849088,000
offline_datapoint_3 1733950126 13498150912,000
offline_datapoint_9 1733950126 200376320,000
offline_datapoint_26 1733950126 7626,000
offline_datapoint_20 1733950124 0,332
offline_datapoint_8 1733950124 6867,437
offline_datapoint_22 1733950126 200376320,000
offline_datapoint_1 1733950124 0,332
offline_datapoint_21 1733950126 8743264256,000
offline_datapoint_7 1733950126 8372191232,000
offline_datapoint_6 1733950124 0,162
offline_datapoint_18 1733950124 10,859
offline_datapoint_12 1733950124 10,859
offline_datapoint_25 1733950124 5,932
offline_datapoint_13 1733950124 17900,002
offline_datapoint_19 1733950126 0,000
offline_datapoint_0 1733950124 26847,166
offline_datapoint_16 1733950124 1554,998
offline_datapoint_29 1733950124 0,275
offline_datapoint_17 1733950124 5,006
offline_datapoint_10 1733950124 99,646
offline_datapoint_30 1733950124 1,335
offline_datapoint_23 1733950124 121787,733
offline_datapoint_4 1733950124 0,003
offline_datapoint_11 1733950129 218802,000
offline_datapoint_5 1733950129 3791,000
offline_datapoint_27 1733950129 753254400,000
offline_datapoint_14 1733950129 517849088,000
offline_datapoint_3 1733950129 13505163264,000
offline_datapoint_9 1733950129 201080832,000
offline_datapoint_26 1733950129 7619,000
offline_datapoint_20 1733950127 6,341
offline_datapoint_8 1733950127 36087,707
offline_datapoint_22 1733950129 201080832,000
offline_datapoint_1 1733950127 1,669
offline_datapoint_21 1733950129 8748032000,000
offline_datapoint_7 1733950129 8378048512,000
offline_datapoint_6 1733950127 0,261
offline_datapoint_18 1733950127 3,352
offline_datapoint_12 1733950127 3,352
offline_datapoint_25 1733950127 2,287
offline_datapoint_13 1733950127 8712,911
offline_datapoint_19 1733950129 0,000
offline_datapoint_0 1733950127 9581,357
offline_datapoint_16 1733950127 1043,474
offline_datapoint_29 1733950127 0,480
offline_datapoint_17 1733950127 33,801
offline_datapoint_10 1733950127 99,390
offline_datapoint_30 1733950127 2,008
offline_datapoint_23 1733950127 13504,634
offline_datapoint_4 1733950127 0,005
offline_datapoint_11 1733950132 218802,000
offline_datapoint_5 1733950132 3785,000
offline_datapoint_27 1733950132 753352704,000
offline_datapoint_14 1733950132 517849088,000
offline_datapoint_3 1733950132 13502402560,000
offline_datapoint_9 1733950132 201113600,000
offline_datapoint_26 1733950132 7617,000
offline_datapoint_20 1733950130 0,335
offline_datapoint_8 1733950130 8151,683
offline_datapoint_22 1733950132 201113600,000
offline_datapoint_1 1733950130 0,335
offline_datapoint_21 1733950132 8745123840,000
offline_datapoint_7 1733950132 8371191808,000
offline_datapoint_6 1733950130 0,098
offline_datapoint_18 1733950130 6,753
offline_datapoint_12 1733950130 6,753
offline_datapoint_25 1733950130 3,622
offline_datapoint_13 1733950130 10472,239
offline_datapoint_19 1733950132 0,000
offline_datapoint_0 1733950130 13443,679
offline_datapoint_16 1733950130 1395,305
offline_datapoint_29 1733950130 0,367
offline_datapoint_17 1733950130 32,125
offline_datapoint_10 1733950130 99,304
offline_datapoint_30 1733950130 1,987
offline_datapoint_23 1733950130 33570,309
offline_datapoint_4 1733950130 0,004
offline_datapoint_11 1733950135 218802,000
offline_datapoint_5 1733950135 3769,000
offline_datapoint_27 1733950135 753360896,000
offline_datapoint_14 1733950135 517849088,000
offline_datapoint_3 1733950135 13499043840,000
offline_datapoint_9 1733950135 200515584,000
offline_datapoint_26 1733950135 7625,000
offline_datapoint_20 1733950133 2,981
offline_datapoint_8 1733950133 16609,859
offline_datapoint_22 1733950135 200515584,000
offline_datapoint_1 1733950133 0,662
offline_datapoint_21 1733950135 8741851136,000
offline_datapoint_7 1733950135 8369418240,000
offline_datapoint_6 1733950133 0,162
offline_datapoint_18 1733950133 5,589
offline_datapoint_12 1733950133 5,589
offline_datapoint_25 1733950133 3,116
offline_datapoint_13 1733950133 10006,967
offline_datapoint_19 1733950135 0,000
offline_datapoint_0 1733950133 12869,946
offline_datapoint_16 1733950133 1061,446
offline_datapoint_29 1733950133 0,545
offline_datapoint_17 1733950133 14,955
offline_datapoint_10 1733950133 98,939
offline_datapoint_30 1733950133 0,000
offline_datapoint_23 1733950133 53521,067
offline_datapoint_4 1733950133 0,005
offline_datapoint_11 1733950138 218802,000
offline_datapoint_5 1733950138 3768,000
offline_datapoint_27 1733950138 753373184,000
offline_datapoint_14 1733950138 517914624,000
offline_datapoint_3 1733950138 13511180288,000
offline_datapoint_9 1733950138 200921088,000
offline_datapoint_26 1733950138 7618,000
offline_datapoint_20 1733950136 4,320
offline_datapoint_8 1733950136 15611,626
offline_datapoint_22 1733950138 200921088,000
offline_datapoint_1 1733950136 1,329
offline_datapoint_21 1733950138 8753770496,000
offline_datapoint_7 1733950138 8380796928,000
offline_datapoint_6 1733950136 0,130
offline_datapoint_18 1733950136 4,019
offline_datapoint_12 1733950136 4,019
offline_datapoint_25 1733950136 2,387
offline_datapoint_13 1733950136 7213,271
offline_datapoint_19 1733950138 1,000
offline_datapoint_0 1733950136 7877,545
offline_datapoint_16 1733950136 1066,388
offline_datapoint_29 1733950136 0,423
offline_datapoint_17 1733950136 23,102
offline_datapoint_10 1733950136 99,197
offline_datapoint_30 1733950136 2,009
offline_datapoint_23 1733950136 20301,913
offline_datapoint_4 1733950136 0,004
offline_datapoint_11 1733950141 218802,000
offline_datapoint_5 1733950141 3760,000
offline_datapoint_27 1733950141 753377280,000
offline_datapoint_14 1733950141 517914624,000
offline_datapoint_3 1733950141 13470486528,000
offline_datapoint_9 1733950141 201048064,000
offline_datapoint_26 1733950141 7646,000
offline_datapoint_20 1733950139 3,348
offline_datapoint_8 1733950139 5974,452
offline_datapoint_22 1733950141 201048064,000
offline_datapoint_1 1733950139 1,339
offline_datapoint_21 1733950141 8713510912,000
offline_datapoint_7 1733950141 8357584896,000
offline_datapoint_6 1733950139 0,065
offline_datapoint_18 1733950139 9,101
offline_datapoint_12 1733950139 9,101
offline_datapoint_25 1733950139 4,906
offline_datapoint_13 1733950139 11430,989
offline_datapoint_19 1733950141 0,000
offline_datapoint_0 1733950139 15069,346
offline_datapoint_16 1733950139 1791,237
offline_datapoint_29 1733950139 0,358
offline_datapoint_17 1733950139 22,287
offline_datapoint_10 1733950139 99,442
offline_datapoint_30 1733950139 0,665
offline_datapoint_23 1733950139 37169,672
offline_datapoint_4 1733950139 0,004
offline_datapoint_11 1733950144 218802,000
offline_datapoint_5 1733950144 3762,000
offline_datapoint_27 1733950144 753401856,000
offline_datapoint_14 1733950144 517914624,000
offline_datapoint_3 1733950144 13469700096,000
offline_datapoint_9 1733950144 200249344,000
offline_datapoint_26 1733950144 7644,000
offline_datapoint_20 1733950142 3,326
offline_datapoint_8 1733950142 25472,494
offline_datapoint_22 1733950144 200249344,000
offline_datapoint_1 1733950142 0,998
offline_datapoint_21 1733950144 8714203136,000
offline_datapoint_7 1733950144 8350724096,000
offline_datapoint_6 1733950142 0,162
offline_datapoint_18 1733950142 3,566
offline_datapoint_12 1733950142 3,566
offline_datapoint_25 1733950142 1,945
offline_datapoint_13 1733950142 6167,128
offline_datapoint_19 1733950144 0,000
offline_datapoint_0 1733950142 6122,980
offline_datapoint_16 1733950142 815,247
offline_datapoint_29 1733950142 0,435
offline_datapoint_17 1733950142 29,211
offline_datapoint_10 1733950142 99,063
offline_datapoint_30 1733950142 0,664
offline_datapoint_23 1733950142 19549,091
offline_datapoint_4 1733950142 0,004
offline_datapoint_11 1733950147 218802,000
offline_datapoint_5 1733950147 3762,000
offline_datapoint_27 1733950147 753258496,000
offline_datapoint_14 1733950147 517914624,000
offline_datapoint_3 1733950147 13480919040,000
offline_datapoint_9 1733950147 200208384,000
offline_datapoint_26 1733950147 7634,000
offline_datapoint_20 1733950145 0,000
offline_datapoint_8 1733950145 2360,763
offline_datapoint_22 1733950147 200208384,000
offline_datapoint_1 1733950145 0,000
offline_datapoint_21 1733950147 8725639168,000
offline_datapoint_7 1733950147 8359374848,000
offline_datapoint_6 1733950145 0,097
offline_datapoint_18 1733950145 4,380
offline_datapoint_12 1733950145 4,380
offline_datapoint_25 1733950145 2,525
offline_datapoint_13 1733950145 7893,434
offline_datapoint_19 1733950147 0,000
offline_datapoint_0 1733950145 8943,239
offline_datapoint_16 1733950145 1328,338
offline_datapoint_29 1733950145 0,491
offline_datapoint_17 1733950145 37,469
offline_datapoint_10 1733950145 99,088
offline_datapoint_30 1733950145 0,663
offline_datapoint_23 1733950145 22437,381
offline_datapoint_4 1733950145 0,005
offline_datapoint_11 1733950150 218802,000
offline_datapoint_5 1733950150 3762,000
offline_datapoint_27 1733950150 753356800,000
offline_datapoint_14 1733950150 517914624,000
offline_datapoint_3 1733950150 13487468544,000
offline_datapoint_9 1733950150 200630272,000
offline_datapoint_26 1733950150 7626,000
offline_datapoint_20 1733950148 0,332
offline_datapoint_8 1733950148 11628,433
offline_datapoint_22 1733950150 200630272,000
offline_datapoint_1 1733950148 0,332
offline_datapoint_21 1733950150 8730673152,000
offline_datapoint_7 1733950150 8368791552,000
offline_datapoint_6 1733950148 0,097
offline_datapoint_18 1733950148 4,473
offline_datapoint_12 1733950148 4,473
offline_datapoint_25 1733950148 2,913
offline_datapoint_13 1733950148 7438,181
offline_datapoint_19 1733950150 0,000
offline_datapoint_0 1733950148 8120,254
offline_datapoint_16 1733950148 932,300
offline_datapoint_29 1733950148 0,308
offline_datapoint_17 1733950148 20,217
offline_datapoint_10 1733950148 99,225
offline_datapoint_30 1733950148 0,663
offline_datapoint_23 1733950148 20950,033
offline_datapoint_4 1733950148 0,003
offline_datapoint_11 1733950153 218802,000
offline_datapoint_5 1733950153 3762,000
offline_datapoint_27 1733950153 753381376,000
offline_datapoint_14 1733950153 518692864,000
offline_datapoint_3 1733950153 13479063552,000
offline_datapoint_9 1733950153 201043968,000
offline_datapoint_26 1733950153 7630,000
offline_datapoint_20 1733950151 2,983
offline_datapoint_8 1733950151 6826,038
offline_datapoint_22 1733950153 201043968,000
offline_datapoint_1 1733950151 0,663
offline_datapoint_21 1733950153 8719851520,000
offline_datapoint_7 1733950153 8359583744,000
offline_datapoint_6 1733950151 0,194
offline_datapoint_18 1733950151 5,395
offline_datapoint_12 1733950151 5,395
offline_datapoint_25 1733950151 3,032
offline_datapoint_13 1733950151 8604,550
offline_datapoint_19 1733950153 0,000
offline_datapoint_0 1733950151 10147,158
offline_datapoint_16 1733950151 1158,960
offline_datapoint_29 1733950151 0,204
offline_datapoint_17 1733950151 13,356
offline_datapoint_10 1733950151 99,640
offline_datapoint_30 1733950151 0,668
offline_datapoint_23 1733950151 32153,600
offline_datapoint_4 1733950151 0,002
offline_datapoint_11 1733950156 218802,000
offline_datapoint_5 1733950156 3770,000
offline_datapoint_27 1733950156 753385472,000
offline_datapoint_14 1733950156 515788800,000
offline_datapoint_3 1733950156 13484711936,000
offline_datapoint_9 1733950156 201170944,000
offline_datapoint_26 1733950156 7634,000
offline_datapoint_20 1733950154 0,334
offline_datapoint_8 1733950154 10658,690
offline_datapoint_22 1733950156 201170944,000
offline_datapoint_1 1733950154 0,334
offline_datapoint_21 1733950156 8726302720,000
offline_datapoint_7 1733950156 8379228160,000
offline_datapoint_6 1733950154 0,293
offline_datapoint_18 1733950154 4,275
offline_datapoint_12 1733950154 4,275
offline_datapoint_25 1733950154 2,753
offline_datapoint_13 1733950154 7686,940
offline_datapoint_19 1733950156 0,000
offline_datapoint_0 1733950154 8806,819
offline_datapoint_16 1733950154 896,036
offline_datapoint_29 1733950154 0,336
offline_datapoint_17 1733950154 21,887
offline_datapoint_10 1733950154 99,440
offline_datapoint_30 1733950154 0,995
offline_datapoint_23 1733950154 19114,667
offline_datapoint_4 1733950154 0,003
offline_datapoint_11 1733950159 218802,000
offline_datapoint_5 1733950159 3762,000
offline_datapoint_27 1733950159 753393664,000
offline_datapoint_14 1733950159 516833280,000
offline_datapoint_3 1733950159 13477019648,000
offline_datapoint_9 1733950159 201170944,000
offline_datapoint_26 1733950159 7631,000
offline_datapoint_20 1733950157 2,653
offline_datapoint_8 1733950157 8074,603
offline_datapoint_22 1733950159 201170944,000
offline_datapoint_1 1733950157 0,332
offline_datapoint_21 1733950159 8721977344,000
offline_datapoint_7 1733950159 8362622976,000
offline_datapoint_6 1733950157 0,324
offline_datapoint_18 1733950157 5,367
offline_datapoint_12 1733950157 5,367
offline_datapoint_25 1733950157 3,579
offline_datapoint_13 1733950157 8927,689
offline_datapoint_19 1733950159 0,000
offline_datapoint_0 1733950157 9542,254
offline_datapoint_16 1733950157 942,334
offline_datapoint_29 1733950157 0,252
offline_datapoint_17 1733950157 10,992
offline_datapoint_10 1733950157 99,568
offline_datapoint_30 1733950157 1,332
offline_datapoint_23 1733950157 35871,030
offline_datapoint_4 1733950157 0,003
offline_datapoint_11 1733950162 218802,000
offline_datapoint_5 1733950162 3763,000
offline_datapoint_27 1733950162 753401856,000
offline_datapoint_14 1733950162 517021696,000
offline_datapoint_3 1733950162 13487374336,000
offline_datapoint_9 1733950162 201256960,000
offline_datapoint_26 1733950162 7624,000
offline_datapoint_20 1733950160 0,333
offline_datapoint_8 1733950160 4994,469
offline_datapoint_22 1733950162 201256960,000
offline_datapoint_1 1733950160 0,333
offline_datapoint_21 1733950162 8729055232,000
offline_datapoint_7 1733950162 8367042560,000
offline_datapoint_6 1733950160 0,260
offline_datapoint_18 1733950160 4,774
offline_datapoint_12 1733950160 4,774
offline_datapoint_25 1733950160 2,983
offline_datapoint_13 1733950160 8777,907
offline_datapoint_19 1733950162 0,000
offline_datapoint_0 1733950160 10214,774
offline_datapoint_16 1733950160 878,123
offline_datapoint_29 1733950160 0,339
offline_datapoint_17 1733950160 14,276
offline_datapoint_10 1733950160 99,080
offline_datapoint_30 1733950160 0,996
offline_datapoint_23 1733950160 50295,070
offline_datapoint_4 1733950160 0,003
offline_datapoint_11 1733950165 218802,000
offline_datapoint_5 1733950165 3763,000
offline_datapoint_27 1733950165 753246208,000
offline_datapoint_14 1733950165 517050368,000
offline_datapoint_3 1733950165 13493858304,000
offline_datapoint_9 1733950165 200564736,000
offline_datapoint_26 1733950165 7620,000
offline_datapoint_20 1733950163 2,988
offline_datapoint_8 1733950163 10932,876
offline_datapoint_22 1733950165 200564736,000
offline_datapoint_1 1733950163 0,664
offline_datapoint_21 1733950165 8733818880,000
offline_datapoint_7 1733950165 8373645312,000
offline_datapoint_6 1733950163 0,357
offline_datapoint_18 1733950163 3,818
offline_datapoint_12 1733950163 3,818
offline_datapoint_25 1733950163 2,117
offline_datapoint_13 1733950163 6457,163
offline_datapoint_19 1733950165 1,000
offline_datapoint_0 1733950163 6615,908
offline_datapoint_16 1733950163 929,122
offline_datapoint_29 1733950163 0,340
offline_datapoint_17 1733950163 16,008
offline_datapoint_10 1733950163 99,159
offline_datapoint_30 1733950163 0,000
offline_datapoint_23 1733950163 23296,000
offline_datapoint_4 1733950163 0,003
offline_datapoint_11 1733950168 218802,000
offline_datapoint_5 1733950168 3771,000
offline_datapoint_27 1733950168 753270784,000
offline_datapoint_14 1733950168 517066752,000
offline_datapoint_3 1733950168 13504954368,000
offline_datapoint_9 1733950168 200847360,000
offline_datapoint_26 1733950168 7614,000
offline_datapoint_20 1733950166 0,000
offline_datapoint_8 1733950166 3792,191
offline_datapoint_22 1733950168 200847360,000
offline_datapoint_1 1733950166 0,000
offline_datapoint_21 1733950168 8742658048,000
offline_datapoint_7 1733950168 8392249344,000
offline_datapoint_6 1733950166 0,098
offline_datapoint_18 1733950166 5,178
offline_datapoint_12 1733950166 5,178
offline_datapoint_25 1733950166 2,974
offline_datapoint_13 1733950166 7810,721
offline_datapoint_19 1733950168 0,000
offline_datapoint_0 1733950166 8815,166
offline_datapoint_16 1733950166 1023,852
offline_datapoint_29 1733950166 0,250
offline_datapoint_17 1733950166 11,042
offline_datapoint_10 1733950166 99,405
offline_datapoint_30 1733950166 0,669
offline_datapoint_23 1733950166 39470,545
offline_datapoint_4 1733950166 0,003
offline_datapoint_11 1733950171 218802,000
offline_datapoint_5 1733950171 3743,000
offline_datapoint_27 1733950171 753328128,000
offline_datapoint_14 1733950171 517066752,000
offline_datapoint_3 1733950171 13467869184,000
offline_datapoint_9 1733950171 200933376,000
offline_datapoint_26 1733950171 7632,000
offline_datapoint_20 1733950169 0,335
offline_datapoint_8 1733950169 9221,696
offline_datapoint_22 1733950171 200933376,000
offline_datapoint_1 1733950169 0,335
offline_datapoint_21 1733950171 8711155712,000
offline_datapoint_7 1733950171 8318386176,000
offline_datapoint_6 1733950169 0,065
offline_datapoint_18 1733950169 3,177
offline_datapoint_12 1733950169 3,177
offline_datapoint_25 1733950169 2,140
offline_datapoint_13 1733950169 5502,492
offline_datapoint_19 1733950171 0,000
offline_datapoint_0 1733950169 5291,982
offline_datapoint_16 1733950169 670,048
offline_datapoint_29 1733950169 0,305
offline_datapoint_17 1733950169 10,957
offline_datapoint_10 1733950169 99,231
offline_datapoint_30 1733950169 0,000
offline_datapoint_23 1733950169 39222,303
offline_datapoint_4 1733950169 0,003
offline_datapoint_11 1733950174 218802,000
offline_datapoint_5 1733950174 3746,000
offline_datapoint_27 1733950174 753369088,000
offline_datapoint_14 1733950174 517091328,000
offline_datapoint_3 1733950174 13470973952,000
offline_datapoint_9 1733950174 200679424,000
offline_datapoint_26 1733950174 7631,000
offline_datapoint_20 1733950172 0,000
offline_datapoint_8 1733950172 1039,603
offline_datapoint_22 1733950174 200679424,000
offline_datapoint_1 1733950172 0,000
offline_datapoint_21 1733950174 8716152832,000
offline_datapoint_7 1733950174 8323198976,000
offline_datapoint_6 1733950172 0,097
offline_datapoint_18 1733950172 4,889
offline_datapoint_12 1733950172 4,889
offline_datapoint_25 1733950172 3,023
offline_datapoint_13 1733950172 8651,603
offline_datapoint_19 1733950174 0,000
offline_datapoint_0 1733950172 10099,528
offline_datapoint_16 1733950172 999,235
offline_datapoint_29 1733950172 0,290
offline_datapoint_17 1733950172 8,654
offline_datapoint_10 1733950172 99,266
offline_datapoint_30 1733950172 0,999
offline_datapoint_23 1733950172 61440,000
offline_datapoint_4 1733950172 0,003
offline_datapoint_11 1733950177 218802,000
offline_datapoint_5 1733950177 3729,000
offline_datapoint_27 1733950177 753422336,000
offline_datapoint_14 1733950177 517148672,000
offline_datapoint_3 1733950177 13487370240,000
offline_datapoint_9 1733950177 201478144,000
offline_datapoint_26 1733950177 7621,000
offline_datapoint_20 1733950175 3,329
offline_datapoint_8 1733950175 14242,591
offline_datapoint_22 1733950177 201478144,000
offline_datapoint_1 1733950175 0,999
offline_datapoint_21 1733950177 8725630976,000
offline_datapoint_7 1733950177 8343920640,000
offline_datapoint_6 1733950175 0,033
offline_datapoint_18 1733950175 4,755
offline_datapoint_12 1733950175 4,755
offline_datapoint_25 1733950175 3,016
