936 1733950112 0,601479 1,600000 0,487576 0,711761 0,586720
933 1733950112 0,000251 1,800000 0,000182 0,000349 0,000000
936 1733950113 0,601479 1,600000 0,487576 0,711761 0,586720
933 1733950113 0,000251 1,800000 0,000182 0,000349 0,000000
936 1733950114 0,601479 1,600000 0,487576 0,711761 0,586720
933 1733950114 0,000251 1,800000 0,000182 0,000349 0,000000
936 1733950115 0,601479 1,600000 0,487576 0,711761 0,586720
933 1733950115 0,000251 1,800000 0,000182 0,000349 0,000000
936 1733950116 0,601479 1,600000 0,487576 0,711761 0,586720
936 1733950117 0,484486 0,200000 0,484486 0,484486 0,046945
933 1733950116 0,000251 1,800000 0,000182 0,000349 0,000000
947 1733950117 0,781632 1,200000 0,500914 0,843097 0,752155
947 1733950118 0,781632 1,200000 0,500914 0,843097 0,752155
936 1733950118 0,484486 0,200000 0,484486 0,484486 0,046945
936 1733950119 0,484486 0,200000 0,484486 0,484486 0,046945
947 1733950119 0,781632 1,200000 0,500914 0,843097 0,752155
936 1733950120 0,484486 0,200000 0,484486 0,484486 0,046945
947 1733950120 0,781632 1,200000 0,500914 0,843097 0,752155
936 1733950121 0,484486 0,200000 0,484486 0,484486 0,046945
947 1733950121 0,781632 1,200000 0,500914 0,843097 0,752155
959 1733950122 0,575808 0,800000 0,468681 0,611988 0,268305
962 1733950122 0,638026 0,400000 0,622693 0,653358 0,162925
947 1733950122 0,485593 0,200000 0,485593 0,485593 0,047160
959 1733950123 0,575808 0,800000 0,468681 0,611988 0,268305
947 1733950123 0,485593 0,200000 0,485593 0,485593 0,047160
959 1733950124 0,575808 0,800000 0,468681 0,611988 0,268305
962 1733950123 0,638026 0,400000 0,622693 0,653358 0,162925
962 1733950124 0,638026 0,400000 0,622693 0,653358 0,162925
947 1733950124 0,485593 0,200000 0,485593 0,485593 0,047160
959 1733950125 0,575808 0,800000 0,468681 0,611988 0,268305
962 1733950125 0,638026 0,400000 0,622693 0,653358 0,162925
947 1733950125 0,485593 0,200000 0,485593 0,485593 0,047160
959 1733950126 0,575808 0,800000 0,468681 0,611988 0,268305
962 1733950126 0,638026 0,400000 0,622693 0,653358 0,162925
947 1733950126 0,485593 0,200000 0,485593 0,485593 0,047160
980 1733950127 17,711318 0,200000 17,711318 17,711318 62,738154
968 1733950127 0,277310 0,600000 0,239414 0,296387 0,046571
959 1733950127 0,669396 0,200000 0,669396 0,669396 0,089618
965 1733950127 0,296971 0,200000 0,296971 0,296971 0,017638
977 1733950127 5,008024 0,600000 5,003213 5,014948 15,048197
971 1733950127 17,600710 0,200000 17,600710 17,600710 61,956998
983 1733950127 0,513302 0,400000 0,501749 0,524855 0,105445
974 1733950127 17,656083 0,400000 17,600766 17,711400 124,696127
980 1733950128 17,711318 0,200000 17,711318 17,711318 62,738154
968 1733950128 0,277310 0,600000 0,239414 0,296387 0,046571
959 1733950128 0,669396 0,200000 0,669396 0,669396 0,089618
965 1733950128 0,296971 0,200000 0,296971 0,296971 0,017638
977 1733950128 5,008024 0,600000 5,003213 5,014948 15,048197
971 1733950128 17,600710 0,200000 17,600710 17,600710 61,956998
983 1733950128 0,513302 0,400000 0,501749 0,524855 0,105445
974 1733950128 17,656083 0,400000 17,600766 17,711400 124,696127
980 1733950129 17,711318 0,200000 17,711318 17,711318 62,738154
968 1733950129 0,277310 0,600000 0,239414 0,296387 0,046571
959 1733950129 0,669396 0,200000 0,669396 0,669396 0,089618
965 1733950129 0,296971 0,200000 0,296971 0,296971 0,017638
977 1733950129 5,008024 0,600000 5,003213 5,014948 15,048197
971 1733950129 17,600710 0,200000 17,600710 17,600710 61,956998
983 1733950129 0,513302 0,400000 0,501749 0,524855 0,105445
974 1733950129 17,656083 0,400000 17,600766 17,711400 124,696127
980 1733950130 17,711318 0,200000 17,711318 17,711318 62,738154
968 1733950130 0,277310 0,600000 0,239414 0,296387 0,046571
959 1733950130 0,669396 0,200000 0,669396 0,669396 0,089618
965 1733950130 0,296971 0,200000 0,296971 0,296971 0,017638
977 1733950130 5,008024 0,600000 5,003213 5,014948 15,048197
971 1733950130 17,600710 0,200000 17,600710 17,600710 61,956998
983 1733950130 0,513302 0,400000 0,501749 0,524855 0,105445
974 1733950130 17,656083 0,400000 17,600766 17,711400 124,696127
980 1733950131 17,711318 0,200000 17,711318 17,711318 62,738154
968 1733950131 0,277310 0,600000 0,239414 0,296387 0,046571
959 1733950131 0,669396 0,200000 0,669396 0,669396 0,089618
965 1733950131 0,296971 0,200000 0,296971 0,296971 0,017638
977 1733950131 5,008024 0,600000 5,003213 5,014948 15,048197
971 1733950131 17,600710 0,200000 17,600710 17,600710 61,956998
983 1733950131 0,513302 0,400000 0,501749 0,524855 0,105445
974 1733950131 17,656083 0,400000 17,600766 17,711400 124,696127
986 1733950132 22,966432 0,200000 22,966432 22,966432 105,491396
968 1733950132 0,243752 0,200000 0,243752 0,243752 0,011883
977 1733950132 5,001196 0,200000 5,001196 5,001196 5,002392
962 1733950132 0,548577 0,200000 0,548577 0,548577 0,060187
