951 1733950117 76051,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950118 76051,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950119 76051,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950120 76051,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950121 76051,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950122 13667,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950123 13667,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950124 13667,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950125 13667,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950126 13667,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950127 25122,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950128 25122,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950129 25122,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950130 25122,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950131 25122,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950132 11751,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950133 11751,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950134 11751,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950135 11751,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950136 11751,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950137 10217,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950138 10217,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950139 10217,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950140 10217,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950141 10217,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950142 5059,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950143 5059,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950144 5059,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950145 5059,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950146 5059,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950147 2129,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950148 2129,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950149 2129,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950150 2129,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950151 2129,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950152 17544,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950153 17544,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950154 17544,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950155 17544,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950156 17544,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950157 2028,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950158 2028,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950159 2028,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950160 2028,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950161 2028,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950162 16268,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950163 16268,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950164 16268,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950165 16268,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950166 16268,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950167 2080,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950168 2080,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950169 2080,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950170 2080,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950171 2080,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950177 32361,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950178 32361,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950179 32361,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950180 32361,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950181 32361,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950182 8126,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950183 8126,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950184 8126,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950185 8126,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950186 8126,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950187 22807,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950188 22807,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950189 22807,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950190 22807,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950191 22807,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950192 22414,400000 -1,000000 -101,000000 0,000000 0,000000
